"Source:","/mnt/90135bae-c1e9-4891-9876-5c8d78c66ace/RustProjects/cursedox/cursedox.kicad_sch"
"Date:","Mon 04 Jul 2022 08:25:57 PM KST"
"Tool:","Eeschema (6.0.5)"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","103"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C101, C102, ","2","27p","C","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor",""
"C103, C105, C109, C110, C111, C112, C113, C114, C115, ","9","100n","C","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor",""
"C104, C107, ","2","10u","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"C106, C108, ","2","1u","C","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor",""
"D00, D01, D02, D03, D04, D05, D10, D11, D12, D20, D21, D22, D23, D30, D31, D32, D33, D34, D40, D41, D42, D43, D44, D50, D51, D52, D53, D54, D60, D61, D62, D63, D64, D70, D71, D72, D73, D74, ","38","1N4148W","1N4148W","Diode_SMD:D_SOD-123","75V 0.15A Fast Switching Diode, SOD-123",""
"J101, ","1","USB_B_Micro","USB_B_Micro","Connector_USB:USB_Micro-B_Molex-105017-0001","USB Micro Type B connector",""
"J102, ","1","AudioJack4","Conn_01x04_Female","Connector_Molex:Molex_Pico-Clasp_202396-0407_1x04-1MP_P1.00mm_Horizontal","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J103, ","1","Conn_01x04_Female","Conn_01x04_Female","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"R101, R102, ","2","1k","R","Capacitor_SMD:C_0402_1005Metric","Resistor",""
"R103, R104, ","2","27","R","Capacitor_SMD:C_0402_1005Metric","Resistor",""
"SW00, SW01, SW02, SW03, SW10, SW20, SW21, SW22, SW23, SW30, SW31, SW32, SW33, SW34, SW40, SW41, SW42, SW43, SW44, SW50, SW51, SW52, SW53, SW54, SW60, SW61, SW62, SW63, SW64, SW74, ","30","SW_Push","SW_Push","Switch_Keyboard_Hotswap_Kailh:SW_Hotswap_Kailh_MX_1.00u","Push button switch, generic, two pins",""
"SW04, SW05, ","2","SW_Push","SW_Push","Switch_Keyboard_Hotswap_Kailh:SW_Hotswap_Kailh_MX_2.00u_90deg","Push button switch, generic, two pins",""
"SW11, SW12, ","2","SW_Push","SW_Push","Switch_Keyboard_Hotswap_Kailh:SW_Hotswap_Kailh_MX_1.50u_90deg","Push button switch, generic, two pins",""
"SW70, SW71, SW72, SW73, ","4","SW_Push","SW_Push","Switch_Keyboard_Hotswap_Kailh:SW_Hotswap_Kailh_MX_1.50u","Push button switch, generic, two pins",""
"SW_BOOTSEL101, ","1","SW_SPST","SW_SPST","Button_Switch_THT:SW_TH_Tactile_Omron_B3F-10xx","Single Pole Single Throw (SPST) switch",""
"U101, ","1","W25Q128JVS","W25Q128JVS","Package_SO:SOIC-8_5.23x5.23mm_P1.27mm","128Mb Serial Flash Memory, Standard/Dual/Quad SPI, SOIC-8",""
"U102, ","1","NCP1117-3.3_SOT223","NCP1117-3.3_SOT223","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1A Low drop-out regulator, Fixed Output 3.3V, SOT-223",""
"U103, ","1","RP2040","RP2040","RP2040:RP2040-QFN-56","",""
"Y101, ","1","ABLS-12.000MHZ-B4-T","Crystal","RP2040:Crystal_SMD_HC49-US","Two pin crystal",""
